"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_001MA","B28011_001EA","B28011_002E","B28011_002M","B28011_002MA","B28011_002EA","B28011_003E","B28011_003EA","B28011_003M","B28011_003MA","B28011_004E","B28011_004EA","B28011_004M","B28011_004MA","B28011_005E","B28011_005M","B28011_005MA","B28011_005EA","B28011_006E","B28011_006M","B28011_006MA","B28011_006EA","B28011_007E","B28011_007EA","B28011_007M","B28011_007MA","B28011_008E","B28011_008EA","B28011_008M","B28011_008MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Annotation of Margin of Error!!Total!!With an Internet subscription","Annotation of Estimate!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Estimate!!Total!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Other service","Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Estimate!!Total!!With an Internet subscription!!Other service","Estimate!!Total!!Internet access without a subscription","Annotation of Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Annotation of Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Annotation of Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access","Annotation of Margin of Error!!Total!!No Internet access",
"1500000US060750203002","Block Group 2, Census Tract 203, San Francisco County, California","364","72","null","null","346","75","null","null","0","null","12","null","336","null","76","null","10","15","null","null","0","12","null","null","0","null","12","null","18","null","22","null",
"1500000US060750203003","Block Group 3, Census Tract 203, San Francisco County, California","718","91","null","null","596","93","null","null","0","null","12","null","563","null","82","null","4","8","null","null","0","12","null","null","56","null","49","null","66","null","50","null",
"1500000US060750204011","Block Group 1, Census Tract 204.01, San Francisco County, California","517","72","null","null","469","74","null","null","0","null","12","null","427","null","78","null","27","23","null","null","29","28","null","null","8","null","14","null","40","null","34","null",
"1500000US060750204012","Block Group 2, Census Tract 204.01, San Francisco County, California","449","66","null","null","449","66","null","null","0","null","12","null","403","null","68","null","38","28","null","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1500000US060750204013","Block Group 3, Census Tract 204.01, San Francisco County, California","668","90","null","null","635","94","null","null","0","null","12","null","606","null","99","null","0","12","null","null","10","16","null","null","26","null","25","null","7","null","12","null",
"1500000US060750204021","Block Group 1, Census Tract 204.02, San Francisco County, California","1366","162","null","null","1286","167","null","null","16","null","26","null","1114","null","150","null","58","47","null","null","18","30","null","null","48","null","44","null","32","null","34","null",
"1500000US060750204022","Block Group 2, Census Tract 204.02, San Francisco County, California","1144","179","null","null","1079","178","null","null","17","null","27","null","1027","null","186","null","28","47","null","null","17","27","null","null","0","null","12","null","65","null","52","null",
"1500000US060750205001","Block Group 1, Census Tract 205, San Francisco County, California","499","75","null","null","478","80","null","null","0","null","12","null","466","null","81","null","13","21","null","null","0","12","null","null","11","null","17","null","10","null","15","null",
"1500000US060750205002","Block Group 2, Census Tract 205, San Francisco County, California","431","81","null","null","370","82","null","null","0","null","12","null","350","null","81","null","19","21","null","null","0","12","null","null","50","null","34","null","11","null","17","null",
"1500000US060750205003","Block Group 3, Census Tract 205, San Francisco County, California","482","68","null","null","458","72","null","null","0","null","12","null","439","null","78","null","8","13","null","null","10","16","null","null","0","null","12","null","24","null","27","null",
"1500000US060750206001","Block Group 1, Census Tract 206, San Francisco County, California","1078","142","null","null","919","158","null","null","14","null","22","null","843","null","138","null","10","15","null","null","0","12","null","null","60","null","63","null","99","null","103","null",
