"","Census.Blockgroup","Children","Elderly","NonWhite","Poverty","Education","English","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingViolations","Homeless","LivAlone","FloodHealthIndex","FloodHealthIndex_Quintiles"
"318",60750263023,0.182279611,0.128093904,0.838145,0.222224057,0.781472112,0.144974496,140.584,0,0.00234836,0.100788,0.158457,0.063836,0.09433272,0.00371107,0.0020779,0.15887616,46.6063,3
"319",60750478013,0.103535281,0.212000294,0.683999,0.229067628,0.895001587,0.215000358,152.166,0,0.000251354,0.043,0.1269,0.027109,0.140000236,0.00198059,0.0046154,0.297000813,46.5731,3
"320",60750614001,0.177956,0.061,0.43,0.200711,0.928,0.046,7.33509,0,0.00284783,0.099265,0.146794,0.04697,0.073,0.00354755,0.017613,0.267,46.5528,3
"321",60750207002,0.077391,0.077,0.308,0.163074,0.981,0.053,39.671,0,0.000545124,0.139,0.3703,0.067351,0.065,0.0124265,0.0021589,0.398,46.5263,3
"322",60750332031,0.120603206,0.09600096,0.578996,0.370138701,0.9200092,0.12900129,39.1923,0,0.00174725,0.08,0.1381,0.039498,0.10300103,0.00358102,0.0002606,0.24900249,46.2729,3
"323",60750253001,0.162098,0.086,0.492,0.204373,0.923,0.106,97.6901,0,0.00266835,0.139,0.3703,0.067351,0.057,0.00455729,0.0032195,0.259,46.2329,3
"324",60750452003,0.154662,0.152,0.548,0.258678,0.892,0.183,207.552,0,0.0113549,0.032004,0.066905,0.019239,0.107,0.00415369,0.0046154,0.291,46.2196,3
"325",60750210003,0.089447041,0.092000027,0.313,0.11116002,0.971000269,0.037000002,76.3,0,0.000351117,0.139,0.3703,0.067351,0.073000012,0.0101471,0.0021589,0.425000101,46.193,3
"326",60750260042,0.16981466,0.130999738,0.91,0.371618257,0.730998538,0.272999454,208.661,0,0.00122563,0.082318,0.143068,0.045154,0.09499981,0.0038115,0.0005207,0.153999692,45.9531,3
"327",60750353003,0.133925,0.187,0.755,0.214404,0.763,0.184,56.7692,0,0.000605946,0.064,0.1072,0.02498,0.095,0.00248293,0.0018761,0.227,45.9463,3
"328",60750353005,0.133925111,0.187000076,0.754999,0.21440426,0.763000726,0.184000113,47.936,0,0.00023493,0.06404,0.107277,0.025016,0.095000134,0.00207523,0.0018761,0.227000303,45.9463,3
"329",60750479011,0.146255,0.178,0.573,0.255079,0.904,0.081,112.44,0,0.00206065,0.043,0.1269,0.027109,0.116,0.00439009,0.0046154,0.318,45.8863,3
"330",60750167001,0.04448909,0.074000048,0.227,0.203696182,0.984000753,0.006000009,128.506,0,0.0190131,0.064,0.1439,0.036513,0.037000063,0.00430769,0.0037988,0.415000372,45.8795,3
"331",60750152001,0.096552005,0.201000233,0.34,0.225464101,0.972000607,0.081000041,180.722,0,0,0.079,0.3047,0.038247,0.115000127,0.0034075,0.0032144,0.616000454,45.8665,3
"332",60750167004,0.044489161,0.074000144,0.227,0.203696301,0.984000809,0.006000043,153.25,0,0.0141091,0.064,0.1439,0.036513,0.037000129,0.00648882,0.0037988,0.415000471,45.8662,3
"333",60750109001,0.063923808,0.144999565,0.355002,0.165189504,0.954997135,0.077999766,190.555,0,0.000691796,0.078905,0.304065,0.038325,0.076999769,0.00814664,0.0026394,0.53999838,45.8531,3
"334",60750351007,0.161644,0.171,0.675,0.209019,0.871,0.103,53.8619,0,0.00265729,0.048076,0.088698,0.027341,0.079,0.00420463,0.0018761,0.248,45.5862,3
"335",60750402002,0.117192016,0.146000016,0.511,0.161560026,0.897000091,0.080000019,154.726,0,0.00682918,0.032,0.0669,0.019236,0.084000011,0.00482593,0.0046154,0.40100003,45.5329,3
"336",60750164001,0.081136043,0.095000027,0.366,0.230223171,0.903000505,0.018000012,150.831,0,0.00297604,0.064,0.1439,0.036513,0.066000062,0.00699301,0.0037988,0.423000214,45.5263,3
"337",60750262001,0.162424215,0.173000205,0.884,0.276474376,0.770000922,0.197000361,175.866,0,0.00197073,0.082,0.1428,0.044834,0.09000013,0.00243563,0.0005207,0.065000242,45.2997,3
"338",60750255003,0.19581,0.112,0.807,0.23419,0.878,0.12,104.623,0,0.00812184,0.082,0.1428,0.044834,0.064,0.00395738,0.0005207,0.203,45.2795,3
"339",60750254022,0.186245,0.099,0.625,0.176811,0.901,0.065,26.5562,0,0.000880745,0.139,0.3703,0.067351,0.048,0.00597237,0.0032195,0.179,45.2329,3
"340",60750479013,0.146254854,0.177999822,0.573,0.255078745,0.903999096,0.080999919,62.8325,0,0.000895589,0.043,0.1269,0.027109,0.115999884,0.0040404,0.0046154,0.317999682,45.2263,3
